MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,NM,1974,0.0
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,NM,1974,9058.57519
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,NM,1974,9058.57519
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,NM,1974,9058.57519
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,NM,1974,540.84777
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,NM,1974,540.84777
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,NM,1974,540.84777
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,NM,1974,0.07788
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,NM,1974,0.0
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,NM,1974,140796.1751
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,NM,1974,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,NM,1974,150.84289
CLPRB,CLPRP,Coal production.,Thousand short tons,NM,1974,168496.3307
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,NM,1974,0.0
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,NM,1974,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,NM,1974,26435.09049
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,NM,1974,972.37768
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,NM,1974,12696.90529
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,NM,1974,26.00484
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,NM,1974,0.0
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,NM,1974,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,NM,1974,0.0
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,NM,1974,0.0
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,NM,1974,10159.36307
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,NM,1974,6994.12573
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,NM,1974,6972.65743
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,NM,1974,24126.14623
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,NM,1974,0.0
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,NM,1974,0.0
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,NM,1974,611.2956
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,NM,1974,0.0
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,NM,1974,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,NM,1974,765.77451
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,NM,1974,0.0
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,NM,1974,15045.67873
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,NM,1974,5805.69756
