MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,AZ,1993,0.0
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,AZ,1993,15446.88237
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,AZ,1993,15446.88237
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,AZ,1993,15446.88237
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,AZ,1993,646.00038
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,AZ,1993,646.00038
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,AZ,1993,646.00038
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,AZ,1993,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,AZ,1993,16.69717
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,AZ,1993,376336.0046
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,AZ,1993,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,AZ,1993,13482.37067
CLPRB,CLPRP,Coal production.,Thousand short tons,AZ,1993,267526.5079
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,AZ,1993,3.66523
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,AZ,1993,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,AZ,1993,65756.47263
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,AZ,1993,1446.77768
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,AZ,1993,14749.23616
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,AZ,1993,46.07761
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,AZ,1993,7.69406
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,AZ,1993,0.0
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,AZ,1993,276.31289
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,AZ,1993,0.0
