MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,CA,2007,207.63605
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,CA,2007,99922.13094
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,CA,2007,99922.13094
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,CA,2007,99922.13094
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,CA,2007,2233.97912
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,CA,2007,2233.97912
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,CA,2007,2233.97912
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,CA,2007,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,CA,2007,0.0
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,CA,2007,23358.12584
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,CA,2007,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,CA,2007,43136.47689
CLPRB,CLPRP,Coal production.,Thousand short tons,CA,2007,0.0
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,CA,2007,0.0
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,CA,2007,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,CA,2007,497835.3465
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,CA,2007,10681.21693
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,CA,2007,66758.2033
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,CA,2007,558.21942
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,CA,2007,998.81523
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,CA,2007,19780.94717
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,CA,2007,81862.84818
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,CA,2007,2893.05868
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,CA,2007,422031.3343
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,CA,2007,172436.4544
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,CA,2007,304208.6689
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,CA,2007,901569.5163
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,CA,2007,4578.44368
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,CA,2007,6056.98919
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,CA,2007,0.0
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,CA,2007,128400.1874
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,CA,2007,132.32472
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,CA,2007,269975.1652
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,CA,2007,0.0
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,CA,2007,628199.6893
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,CA,2007,628199.6893
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,CA,2007,628199.6893
JNACB,JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,CA,2007,0.0
JNTCB,JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,CA,2007,0.0
KSCCB,KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,CA,2007,175.04021
KSICB,KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,CA,2007,177.89937
KSRCB,KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,CA,2007,863.84474
LGACB,LGACP,LPG consumed by the transportation sector.,Thousand barrels,CA,2007,2729.08818
LGCCB,LGCCP,LPG consumed by the commercial sector.,Thousand barrels,CA,2007,7231.43575
LGICB,LGICP,LPG consumed by the industrial sector.,Thousand barrels,CA,2007,6868.40354
LGRCB,LGRCP,LPG consumed by the residential sector.,Thousand barrels,CA,2007,24485.38773
LUACB,LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,CA,2007,15061.3452
LUICB,LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,CA,2007,11296.00895
MBICB,MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,CA,2007,0.0
MGACB,MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,CA,2007,1962618.38
MGCCB,MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,CA,2007,1459.88895
MGICB,MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,CA,2007,23211.63835
