MSN_data,MSN,desc,unit,state,year,data
ABICB,ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,TX,2008,25.97665
ARICB,ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,TX,2008,71106.86146
ARTCB,ARTCP,Asphalt and road oil total consumption.,Thousand barrels,TX,2008,71106.86146
ARTXB,ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,TX,2008,71106.86146
AVACB,AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,TX,2008,2111.81031
AVTCB,AVTCP,Aviation gasoline total consumption.,Thousand barrels,TX,2008,2111.81031
AVTXB,AVTXP,Aviation gasoline total end-use consumption.,Thousand barrels,TX,2008,2111.81031
CLACB,CLACP,Coal consumed by the transportation sector.,Thousand short tons,TX,2008,0.0
CLCCB,CLCCP,Coal consumed by the commercial sector.,Thousand short tons,TX,2008,287.34103
CLEIB,CLEIP,Coal consumed by the electric power sector.,Thousand short tons,TX,2008,1566630.075
CLKCB,CLKCP,Coal consumed at coke plants (coking coal).,Thousand short tons,TX,2008,0.0
CLOCB,CLOCP,Coal consumed by industrial users other than coke plants.,Thousand short tons,TX,2008,38976.15004
CLPRB,CLPRP,Coal production.,Thousand short tons,TX,2008,515492.604
CLRCB,CLRCP,Coal consumed by the residential sector.,Thousand short tons,TX,2008,31.92684
COICB,COICP,Crude oil consumed by the industrial sector.,Thousand barrels,TX,2008,0.0
DFACB,DFACP,Distillate fuel oil consumed by the transportation sector.,Thousand barrels,TX,2008,686285.7529
DFCCB,DFCCP,Distillate fuel oil consumed by the commercial sector.,Thousand barrels,TX,2008,13056.45819
DFICB,DFICP,Distillate fuel oil consumed by the industrial sector.,Thousand barrels,TX,2008,143865.8547
DFRCB,DFRCP,Distillate fuel oil consumed by the residential sector.,Thousand barrels,TX,2008,1.52289
ELEXB,ELEXP,Electricity exported from the United States.,Million kilowatthours,TX,2008,3455.9455
ELIMB,ELIMP,Electricity imported into the United States.,Million kilowatthours,TX,2008,3278.91057
EMTCB,EMTCP,"Fuel ethanol, excluding denaturant, total consumption.",Thousand barrels,TX,2008,63820.1754
ESACB,ESACP,"Electricity consumed by (i.e., sold to) the transportation sector.",Million kilowatthours,TX,2008,233.87213
ESCCB,ESCCP,"Electricity consumed by (i.e., sold to) the commercial sector.",Million kilowatthours,TX,2008,387168.8149
ESICB,ESICP,"Electricity consumed by (i.e., sold to) the industrial sector.",Million kilowatthours,TX,2008,361011.3413
ESRCB,ESRCP,"Electricity consumed by (i.e., sold to) the residential sector.",Million kilowatthours,TX,2008,435752.0543
ESTCB,ESTCP,"Electricity total consumption (i.e., sold).",Million kilowatthours,TX,2008,1184166.083
FNICB,FNICP,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,2008,244722.4546
FOICB,FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,TX,2008,332210.246
FSICB,FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,TX,2008,0.0
GEEGB,GEEGP,Electricity produced from geothermal energy by the electric power sector.,Million kilowatthours,TX,2008,0.0
HYCCB,HYCCP,Hydroelectricity produced in the commercial sector.,Million kilowatthours,TX,2008,0.0
HYEGB,HYEGP,Hydroelectricity produced by the electric power sector.,Million kilowatthours,TX,2008,10242.91137
HYICB,HYICP,Hydroelectricity produced in the industrial sector.,Million kilowatthours,TX,2008,0.0
JFTXB,JFTXP,Jet fuel total end-use consumption.,Thousand barrels,TX,2008,411165.1509
JKACB,JKACP,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,TX,2008,411165.1509
JKTCB,JKTCP,Kerosene-type jet fuel total consumption.,Thousand barrels,TX,2008,411165.1509
JNACB,JNACP,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,TX,2008,0.0
JNTCB,JNTCP,Naphtha-type jet fuel total consumption.,Thousand barrels,TX,2008,0.0
KSCCB,KSCCP,Kerosene consumed by the commercial sector.,Thousand barrels,TX,2008,173.04165
KSICB,KSICP,Kerosene consumed by the industrial sector.,Thousand barrels,TX,2008,583.10246
KSRCB,KSRCP,Kerosene consumed by the residential sector.,Thousand barrels,TX,2008,30.47988
LGACB,LGACP,LPG consumed by the transportation sector.,Thousand barrels,TX,2008,2384.89585
LGCCB,LGCCP,LPG consumed by the commercial sector.,Thousand barrels,TX,2008,8129.28175
LGICB,LGICP,LPG consumed by the industrial sector.,Thousand barrels,TX,2008,1351021.62
LGRCB,LGRCP,LPG consumed by the residential sector.,Thousand barrels,TX,2008,22547.2532
LUACB,LUACP,Lubricants consumed by the transportation sector.,Thousand barrels,TX,2008,9521.42755
LUICB,LUICP,Lubricants consumed by the industrial sector.,Thousand barrels,TX,2008,17107.27858
MBICB,MBICP,Motor gasoline blending components consumed by the industrial sector.,Thousand barrels,TX,2008,0.0
MGACB,MGACP,Motor gasoline consumed by the transportation sector.,Thousand barrels,TX,2008,1481449.644
MGCCB,MGCCP,Motor gasoline consumed by the commercial sector.,Thousand barrels,TX,2008,1882.77666
MGICB,MGICP,Motor gasoline consumed by the industrial sector.,Thousand barrels,TX,2008,20178.73459
MSICB,MSICP,Miscellaneous petroleum products consumed by the industrial sector.,Thousand barrels,TX,2008,72841.64882
NAICB,NAICP,Natural gasoline consumed by the industrial sector.,Thousand barrels,TX,2008,0.0
NGACB,NGACP,Natural gas consumed by the transportation sector.,Million cubic feet,TX,2008,114417.5619
NGCCB,NGCCP,Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).,Million cubic feet,TX,2008,171572.9601
NGEIB,NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels).,Million cubic feet,TX,2008,1472659.698
NGICB,NGICP,Natural gas consumed by (delivered to) the industrial sector (including supplemental gaseous fuels).,Million cubic feet,TX,2008,1700716.381
NGLPB,NGLPP,Natural gas consumed as lease and plant fuel.,Million cubic feet,TX,2008,338995.0489
NGMPB,NGMPP,Natural gas marketed production.,Million cubic feet,TX,2008,8228007.779
