year,sector,unit,data
1960,Commercial,Million cubic feet,9333.63
1960,Commercial,Million kilowatthours,3284.7051
1960,Commercial,Thousand barrels,2190.5280599999996
1960,Commercial,Thousand short tons,392.88432
1960,Electric power,Million cubic feet,34880.24831
1960,Electric power,Thousand barrels,672.60212
1960,Electric power,Thousand short tons,649.075
1960,Industrial,Million cubic feet,124450.7567
1960,Industrial,Million kilowatthours,5282.31168
1960,Industrial,Thousand barrels,24365.78652
1960,Residential,Million cubic feet,21070.53
1960,Residential,Million kilowatthours,2975.08658
1960,Residential,Thousand barrels,5614.42272
1960,Residential,Thousand short tons,565.3702900000001
1960,Transportation,Million cubic feet,17566.02
1960,Transportation,Million kilowatthours,0.0
1960,Transportation,Thousand barrels,73908.80110999999
1960,Transportation,Thousand short tons,41.47741
1961,Commercial,Million cubic feet,10628.415
1961,Commercial,Million kilowatthours,3619.43595
1961,Commercial,Thousand barrels,2353.2917399999997
1961,Commercial,Thousand short tons,319.74899
1961,Electric power,Million cubic feet,36709.1523
1961,Electric power,Thousand barrels,657.72708
1961,Electric power,Thousand short tons,776.3225
1961,Industrial,Million cubic feet,121649.9877
1961,Industrial,Million kilowatthours,5621.9148700000005
1961,Industrial,Thousand barrels,22476.79443
1961,Residential,Million cubic feet,23308.2
1961,Residential,Million kilowatthours,3172.80856
1961,Residential,Thousand barrels,6598.639869999999
1961,Residential,Thousand short tons,460.12681
1961,Transportation,Million cubic feet,26652.285
1961,Transportation,Million kilowatthours,0.0
1961,Transportation,Thousand barrels,75150.50377
1961,Transportation,Thousand short tons,7.87015
1962,Commercial,Million cubic feet,13220.055
1962,Commercial,Million kilowatthours,3955.3132299999997
1962,Commercial,Thousand barrels,2175.32418
1962,Commercial,Thousand short tons,284.82061
1962,Electric power,Million cubic feet,38970.391319999995
1962,Electric power,Thousand barrels,427.28337999999997
1962,Electric power,Thousand short tons,622.50676
1962,Industrial,Million cubic feet,144251.5187
1962,Industrial,Million kilowatthours,6041.46804
1962,Industrial,Thousand barrels,23339.03038
1962,Residential,Million cubic feet,24345.27
1962,Residential,Million kilowatthours,3455.70431
1962,Residential,Thousand barrels,5938.728160000001
1962,Residential,Thousand short tons,409.86368999999996
1962,Transportation,Million cubic feet,26302.455
1962,Transportation,Million kilowatthours,0.0
1962,Transportation,Thousand barrels,82456.36303
1962,Transportation,Thousand short tons,4.51611
1963,Commercial,Million cubic feet,11097.728000000001
1963,Commercial,Million kilowatthours,4301.50158
1963,Commercial,Thousand barrels,2138.84492
1963,Commercial,Thousand short tons,198.39189
1963,Electric power,Million cubic feet,42899.4886
1963,Electric power,Thousand barrels,410.6857
1963,Electric power,Thousand short tons,14683.48497
1963,Industrial,Million cubic feet,132995.5114
1963,Industrial,Million kilowatthours,6281.28728
1963,Industrial,Thousand barrels,22845.25853
1963,Residential,Million cubic feet,27177.023999999998
1963,Residential,Million kilowatthours,3839.13122
1963,Residential,Thousand barrels,6031.74259
1963,Residential,Thousand short tons,273.96955
1963,Transportation,Million cubic feet,25741.056
1963,Transportation,Million kilowatthours,0.0
1963,Transportation,Thousand barrels,86195.60526000001
1963,Transportation,Thousand short tons,2.25975
1964,Commercial,Million cubic feet,13820.358
1964,Commercial,Million kilowatthours,4766.69366
1964,Commercial,Thousand barrels,2510.93188
1964,Commercial,Thousand short tons,152.31422
1964,Electric power,Million cubic feet,46232.7184
1964,Electric power,Thousand barrels,382.31247
1964,Electric power,Thousand short tons,30064.87815
1964,Industrial,Million cubic feet,119857.7756
1964,Industrial,Million kilowatthours,6551.71216
1964,Industrial,Thousand barrels,29026.846149999998
