year,sector,unit,data
1960,Commercial,Million cubic feet,61818.48
1960,Commercial,Million kilowatthours,33439.73117
1960,Commercial,Thousand barrels,22952.56193
1960,Commercial,Thousand short tons,106.94627
1960,Electric power,Million cubic feet,421566.0011
1960,Electric power,Thousand barrels,267.20378999999997
1960,Electric power,Thousand short tons,0.0
1960,Industrial,Million cubic feet,2100294.299
1960,Industrial,Million kilowatthours,49821.6555
1960,Industrial,Thousand barrels,669000.84198
1960,Residential,Million cubic feet,177678.45
1960,Residential,Million kilowatthours,38608.62248
1960,Residential,Thousand barrels,37088.47655
1960,Residential,Thousand short tons,153.89827
1960,Transportation,Million cubic feet,54125.325
1960,Transportation,Million kilowatthours,27.966079999999998
1960,Transportation,Thousand barrels,743500.6586399999
1960,Transportation,Thousand short tons,295.12098
1961,Commercial,Million cubic feet,64515.69
1961,Commercial,Million kilowatthours,35919.93205
1961,Commercial,Thousand barrels,19884.12297
1961,Commercial,Thousand short tons,65.34781
1961,Electric power,Million cubic feet,434774.9568
1961,Electric power,Thousand barrels,249.9334
1961,Electric power,Thousand short tons,0.0
1961,Industrial,Million cubic feet,2095699.648
1961,Industrial,Million kilowatthours,52136.11064
1961,Industrial,Thousand barrels,674914.0823499999
1961,Residential,Million cubic feet,172004.58
1961,Residential,Million kilowatthours,39655.76869
1961,Residential,Thousand barrels,36889.22144
1961,Residential,Thousand short tons,94.03702
1961,Transportation,Million cubic feet,64998.0
1961,Transportation,Million kilowatthours,25.31052
1961,Transportation,Thousand barrels,749386.48346
1961,Transportation,Thousand short tons,57.250769999999996
1962,Commercial,Million cubic feet,70243.38
1962,Commercial,Million kilowatthours,39125.00858
1962,Commercial,Thousand barrels,21143.40341
1962,Commercial,Thousand short tons,67.91089000000001
1962,Electric power,Million cubic feet,509372.5621
1962,Electric power,Thousand barrels,461.45950999999997
1962,Electric power,Thousand short tons,0.0
1962,Industrial,Million cubic feet,2113288.458
1962,Industrial,Million kilowatthours,58758.881120000005
1962,Industrial,Thousand barrels,719435.5869
1962,Residential,Million cubic feet,203308.155
1962,Residential,Million kilowatthours,48297.73006
1962,Residential,Thousand barrels,37282.31727
1962,Residential,Thousand short tons,97.72546
1962,Transportation,Million cubic feet,63350.28
1962,Transportation,Million kilowatthours,21.17108
1962,Transportation,Thousand barrels,772536.8860599999
1962,Transportation,Thousand short tons,54.03937
1963,Commercial,Million cubic feet,77749.075
1963,Commercial,Million kilowatthours,43460.59979
1963,Commercial,Thousand barrels,22347.89417
1963,Commercial,Thousand short tons,52.776430000000005
1963,Electric power,Million cubic feet,574622.2077
1963,Electric power,Thousand barrels,380.3635
1963,Electric power,Thousand short tons,0.0
1963,Industrial,Million cubic feet,2118448.126
1963,Industrial,Million kilowatthours,65137.8949
1963,Industrial,Thousand barrels,800975.81331
1963,Residential,Million cubic feet,205598.73100000003
1963,Residential,Million kilowatthours,55061.04764
1963,Residential,Thousand barrels,38342.894089999994
1963,Residential,Thousand short tons,72.88173
1963,Transportation,Million cubic feet,68009.571
1963,Transportation,Million kilowatthours,20.05161
1963,Transportation,Thousand barrels,792824.0669
1963,Transportation,Thousand short tons,46.80343
1964,Commercial,Million cubic feet,84034.55
1964,Commercial,Million kilowatthours,46526.98736
1964,Commercial,Thousand barrels,25216.670329999997
1964,Commercial,Thousand short tons,44.02053
1964,Electric power,Million cubic feet,625563.8239
1964,Electric power,Thousand barrels,225.96735
1964,Electric power,Thousand short tons,0.0
1964,Industrial,Million cubic feet,2062988.0880000002
1964,Industrial,Million kilowatthours,72124.60294
1964,Industrial,Thousand barrels,871304.7138299999
1964,Residential,Million cubic feet,199465.069
1964,Residential,Million kilowatthours,58784.91126
1964,Residential,Thousand barrels,46482.772450000004
1964,Residential,Thousand short tons,60.79019
1964,Transportation,Million cubic feet,68440.382
1964,Transportation,Million kilowatthours,17.06
1964,Transportation,Thousand barrels,820428.42636
1964,Transportation,Thousand short tons,63.677730000000004
1965,Commercial,Million cubic feet,83594.644
1965,Commercial,Million kilowatthours,50511.480019999995
1965,Commercial,Thousand barrels,25521.39022
1965,Commercial,Thousand short tons,38.72657
1965,Electric power,Million cubic feet,663206.4508
1965,Electric power,Thousand barrels,207.77906000000002
1965,Electric power,Thousand short tons,0.0
1965,Industrial,Million cubic feet,2175278.245
1965,Industrial,Million kilowatthours,80812.38747
1965,Industrial,Thousand barrels,873692.3517300001
1965,Residential,Million cubic feet,189345.83
1965,Residential,Million kilowatthours,63956.44554
1965,Residential,Thousand barrels,47697.548259999996
1965,Residential,Thousand short tons,51.33538
1965,Transportation,Million cubic feet,70030.68400000001
1965,Transportation,Million kilowatthours,13.648
1965,Transportation,Thousand barrels,850250.66634
1965,Transportation,Thousand short tons,61.185359999999996
1966,Commercial,Million cubic feet,92274.21
1966,Commercial,Million kilowatthours,54413.07131
1966,Commercial,Thousand barrels,31073.134639999997
1966,Commercial,Thousand short tons,44.46102
1966,Electric power,Million cubic feet,732300.7394
1966,Electric power,Thousand barrels,276.16276
1966,Electric power,Thousand short tons,0.0
1966,Industrial,Million cubic feet,2304407.32
1966,Industrial,Million kilowatthours,93072.88743999999
1966,Industrial,Thousand barrels,925058.3692699999
1966,Residential,Million cubic feet,204798.265
1966,Residential,Million kilowatthours,69280.92955
1966,Residential,Thousand barrels,43498.23597
1966,Residential,Thousand short tons,58.936780000000006
1966,Transportation,Million cubic feet,70481.768
1966,Transportation,Million kilowatthours,0.0
1966,Transportation,Thousand barrels,881133.10192
1966,Transportation,Thousand short tons,52.367909999999995
1967,Commercial,Million cubic feet,145874.988
1967,Commercial,Million kilowatthours,59454.20236
1967,Commercial,Thousand barrels,29621.91648
1967,Commercial,Thousand short tons,35.5727
1967,Electric power,Million cubic feet,808229.8531
1967,Electric power,Thousand barrels,217.14668999999998
1967,Electric power,Thousand short tons,0.0
1967,Industrial,Million cubic feet,2398686.048
1967,Industrial,Million kilowatthours,101819.7473
1967,Industrial,Thousand barrels,941678.5197799999
1967,Residential,Million cubic feet,210268.908
1967,Residential,Million kilowatthours,76841.76801
1967,Residential,Thousand barrels,42510.51666
1967,Residential,Thousand short tons,47.15455
1967,Transportation,Million cubic feet,75536.532
1967,Transportation,Million kilowatthours,0.0
1967,Transportation,Thousand barrels,927184.54794
1967,Transportation,Thousand short tons,35.73292
1968,Commercial,Million cubic feet,144740.796
1968,Commercial,Million kilowatthours,64157.777429999995
1968,Commercial,Thousand barrels,40735.12553
1968,Commercial,Thousand short tons,17.32904
1968,Electric power,Million cubic feet,883973.1916
1968,Electric power,Thousand barrels,307.9687
1968,Electric power,Thousand short tons,0.0
1968,Industrial,Million cubic feet,2500035.456
1968,Industrial,Million kilowatthours,114638.1264
1968,Industrial,Thousand barrels,999792.8948400001
1968,Residential,Million cubic feet,219809.99399999998
