,year,CA,TX,NM,AZ
0,1960,0.971077800276441,2.8749796413893542,47.960998843050135,48.19294371528407
1,1961,0.953606504587372,2.7660665054364317,48.992552731308145,47.28777425866805
2,1962,1.506465715696883,2.7034898297064984,48.556172061419446,47.23387239317719
3,1963,4.006179027878366,2.695299214959805,46.23408939116133,47.0644323660005
4,1964,3.4540082301836534,2.6931936356942896,44.169742881330585,49.68305525279147
5,1965,2.5177117995295157,2.5931216529230525,45.34427249233127,49.54489405521616
6,1966,1.5295737602171167,3.1236187736618555,48.3921089547643,46.95469851135673
7,1967,3.628201391401267,3.0264547388007284,43.38921220588928,49.956131663908735
8,1968,1.0584149904321856,3.0956148507496453,46.84209856510553,49.00387159371265
9,1969,1.895466958280878,2.336215859640801,46.39819347787722,49.37012370420111
10,1970,2.5832001929991804,2.3860621775089186,46.39648717844393,48.63425045104799
11,1971,2.9905496591946434,1.953380156604159,43.14845080543471,51.90761937876649
12,1972,2.9462495526892885,1.970878634261109,43.72165567475339,51.36121613829623
13,1973,1.3116707579170568,1.958416556844809,46.92583374105759,49.80407894418055
14,1974,1.9761393865924588,1.467204874059918,47.351592994444616,49.20506274490302
15,1975,1.3229393044962348,1.490085759949649,46.77241707214296,50.41455786341117
16,1976,1.734511237092533,1.5410306135250507,50.301366923324544,46.42309122605786
17,1977,1.1711269904074098,1.5686064570653584,49.22029581538799,48.03997073713924
18,1978,4.60737907840563,1.485347281310742,46.36648376454755,47.54078987573608
19,1979,2.5063258511505966,1.5448937096698343,49.509719626714684,46.439060812464895
20,1980,3.4592930079654742,2.084223511317002,47.80968235971635,46.64680112100118
21,1981,2.673686372105806,2.415506794579786,49.21894988553343,45.691856947780956
22,1982,7.401287984648716,2.878746886828042,44.12923872959046,45.59072639893278
23,1983,6.623661528031642,2.4788848567131825,43.37716638044911,47.520287234806055
24,1984,4.721931975570005,2.5192835124240207,45.27887654159536,47.47990797041061
25,1985,1.9194521014894,2.6055635175416754,49.43765123022808,46.03733315074086
26,1986,2.1211844497964276,4.8485030571497605,49.21037459028389,43.81993790276992
27,1987,1.383542080105929,5.923323926762917,50.12423980230333,42.56889419082782
28,1988,2.043155598309745,5.762747371731405,50.32032010280656,41.87377692715229
29,1989,2.1301230680313026,4.347407050565142,51.26888713061586,42.25358275078771
30,1990,1.4685356922695307,5.02007123679523,50.295305475423504,43.21608759551173
31,1991,1.468030430984053,4.921720139378597,50.71900024220264,42.89124918743471
32,1992,1.4561432082363353,5.9115061199850665,50.08410757216011,42.548243099618475
33,1993,3.551289418340411,5.869366674627412,49.24909241951726,41.33025148751492
34,1994,2.3874924302394884,6.008054637538764,49.87560310156465,41.7288498306571
35,1995,7.014201066861562,4.3775735072475745,46.37364610724452,42.23457931864635
36,1996,12.797503441831335,4.766266162763196,43.938681260717885,38.49754913468758
37,1997,5.081536272505314,4.866407516204705,47.64990587071689,42.40215034057309
38,1998,9.59456732679273,4.502826175578088,47.377740383137585,38.52486611449159
39,1999,9.692776819201987,3.2698489221713043,47.33624209083605,39.70113216779066
40,2000,10.028951740962265,2.532874780068544,47.491488688673165,39.946684790296
41,2001,3.6634943849050203,2.093184382901136,51.29370392626402,42.94961730592984
42,2002,2.3616847024781595,3.468544166533504,51.215168693426975,42.95460243756139
43,2003,5.305140279258158,1.8023052102766641,49.60591288710427,43.28664162336091
44,2004,9.12219851468564,1.56319958204892,47.479855855070774,41.83474604819466
45,2005,5.568330119518763,1.4553453539165178,48.80916623231837,44.16715829424637
46,2006,5.433118885874622,3.5624971127829057,47.22058088410914,43.78380311723332
47,2007,6.604307692494664,5.637097800784932,44.790497000578874,42.96809750614152
48,2008,4.289502227699741,9.218509754213484,43.626052311297016,42.86593570678978
49,2009,4.053347143757112,8.008042300263437,44.5570895720396,43.38152098393987
