year,sector,unit,data
1960,Commercial,Million cubic feet,26171.01
1960,Commercial,Million kilowatthours,11267.26335
1960,Commercial,Thousand barrels,1786.7957900000001
1960,Commercial,Thousand short tons,0.0
1960,Electric power,Million cubic feet,55109.93396
1960,Electric power,Thousand barrels,258.41456
1960,Electric power,Thousand short tons,0.0
1960,Industrial,Million cubic feet,14159.51105
1960,Industrial,Million kilowatthours,5052.58172
1960,Industrial,Thousand barrels,17498.64185
1960,Residential,Million cubic feet,28367.28
1960,Residential,Million kilowatthours,4621.67001
1960,Residential,Thousand barrels,1696.4692200000002
1960,Residential,Thousand short tons,0.0
1960,Transportation,Million cubic feet,16466.85
1960,Transportation,Million kilowatthours,0.0
1960,Transportation,Thousand barrels,100224.36747
1960,Transportation,Thousand short tons,3.53784
1961,Commercial,Million cubic feet,14483.79
1961,Commercial,Million kilowatthours,10054.14722
1961,Commercial,Thousand barrels,1836.21456
1961,Commercial,Thousand short tons,0.0
1961,Electric power,Million cubic feet,62755.67871
1961,Electric power,Thousand barrels,162.06628999999998
1961,Electric power,Thousand short tons,0.0
1961,Industrial,Million cubic feet,39919.426289999996
1961,Industrial,Million kilowatthours,6699.79638
1961,Industrial,Thousand barrels,17533.180889999996
1961,Residential,Million cubic feet,25850.16
1961,Residential,Million kilowatthours,5976.69804
1961,Residential,Thousand barrels,2208.27649
1961,Residential,Thousand short tons,0.0
1961,Transportation,Million cubic feet,16083.9
1961,Transportation,Million kilowatthours,0.0
1961,Transportation,Thousand barrels,105160.05229
1961,Transportation,Thousand short tons,0.9494600000000001
1962,Commercial,Million cubic feet,12949.92
1962,Commercial,Million kilowatthours,9945.02123
1962,Commercial,Thousand barrels,2139.61125
1962,Commercial,Thousand short tons,0.0
1962,Electric power,Million cubic feet,62289.47021
1962,Electric power,Thousand barrels,586.31305
1962,Electric power,Thousand short tons,6064.710239999999
1962,Industrial,Million cubic feet,49739.9648
1962,Industrial,Million kilowatthours,9119.13298
1962,Industrial,Thousand barrels,16059.218799999999
1962,Residential,Million cubic feet,22933.53
1962,Residential,Million kilowatthours,5851.19444
1962,Residential,Thousand barrels,2902.48492
1962,Residential,Thousand short tons,0.0
